,English Word,Encrypted Text (Binary),Decrypted Text (Binary),Decrypted Text (Alphabet),Initial State, Polynomial
251,cabbage,00110010101111100100010001110100110000101101100100101001,01100011011000010110001001100010011000010110011101100101,cabbage,5432,10101
252,Owl,000111101010100001001010,010011110111011101101100,Owl,5432,10101
253,Egret,0001010010111000010101000111001111010111,0100010101100111011100100110010101110100,Egret,5432,10101
254,Polar bear,00000001101100000100101001110111110100011001111000101110010010000010011000001110,01010000011011110110110001100001011100100010000001100010011001010110000101110010,Polar bear,5432,10101
255,peas,00100001101110100100011101100101,01110000011001010110000101110011,peas,5432,10101
256,Badger,000100111011111001000010011100011100011011001100,010000100110000101100100011001110110010101110010,Badger,5432,10101
257,Sandpiper,000000101011111001001000011100101101001111010111001111000100100000110101,010100110110000101101110011001000111000001101001011100000110010101110010,Sandpiper,5432,10101
258,Blue whale,00010011101100110101001101110011100000111100100100100100010011000010101100011001,01000010011011000111010101100101001000000111011101101000011000010110110001100101,Blue whale,5432,10101
259,Auk,000100001010101001001101,010000010111010101101011,Auk,5432,10101
260,Chough,000100101011011101001001011000111100010011010110,010000110110100001101111011101010110011101101000,Chough,5432,10101
261,vulture,00100111101010100100101001100010110101101100110000101001,01110110011101010110110001110100011101010111001001100101,vulture,5432,10101
262,Pintail,00000001101101100100100001100010110000101101011100100000,01010000011010010110111001110100011000010110100101101100,Pintail,5432,10101
263,doctor,001101011011000001000101011000101100110011001100,011001000110111101100011011101000110111101110010,doctor,5432,10101
264,Heron,0001100110111010010101000111100111001101,0100100001100101011100100110111101101110,Heron,5432,10101
265,carrot,001100101011111001010100011001001100110011001010,011000110110000101110010011100100110111101110100,carrot,5432,10101
266,Flying squirrel,000101111011001101011111011111111100110111011001011011000101111000110110000010011111000100101000111111001001110001011100,010001100110110001111001011010010110111001100111001000000111001101110001011101010110100101110010011100100110010101101100,Flying squirrel,5432,10101
267,satisfy,00100010101111100101001001111111110100001101100000110101,01110011011000010111010001101001011100110110011001111001,satisfy,5432,10101
268,Fish,00010111101101100101010101111110,01000110011010010111001101101000,Fish,5432,10101
269,Bulbul,000100111010101001001010011101001101011011010010,010000100111010101101100011000100111010101101100,Bulbul,5432,10101
270,Tiger,0000010110110110010000010111001111010001,0101010001101001011001110110010101110010,Tiger,5432,10101
271,Sloth,0000001010110011010010010110001011001011,0101001101101100011011110111010001101000,Sloth,5432,10101
272,rocket,001000111011000001000101011111011100011011001010,011100100110111101100011011010110110010101110100,rocket,5432,10101
273,Hermit crab,0001100110111010010101000111101111001010110010100110110001001110001101010001110111111010,0100100001100101011100100110110101101001011101000010000001100011011100100110000101100010,Hermit crab,5432,10101
274,Duck,00010101101010100100010101111101,01000100011101010110001101101011,Duck,5432,10101
275,cat,001100101011111001010010,011000110110000101110100,cat,5432,10101
276,Meerkat,00011100101110100100001101100100110010001101111100111000,01001101011001010110010101110010011010110110000101110100,Meerkat,5432,10101
277,date,00110101101111100101001001110011,01100100011000010111010001100101,date,5432,10101
278,Chinchillas,0001001010110111010011110111100011000000110101100010010101000001001010110001110111101011,0100001101101000011010010110111001100011011010000110100101101100011011000110000101110011,Chinchillas,5432,10101
279,Parrot,000000011011111001010100011001001100110011001010,010100000110000101110010011100100110111101110100,Parrot,5432,10101
280,eggplant,0011010010111000010000010110011011001111110111110010001001011001,0110010101100111011001110111000001101100011000010110111001110100,eggplant,5432,10101
281,Cormorant,000100101011000001010100011110111100110011001100001011010100001100110011,010000110110111101110010011011010110111101110010011000010110111001110100,Cormorant,5432,10101
282,Goshawk,00010110101100000101010101111110110000101100100100100111,01000111011011110111001101101000011000010111011101101011,Goshawk,5432,10101
283,Ptarmigan,000000011010101101000111011001001100111011010111001010110100110000101001,010100000111010001100001011100100110110101101001011001110110000101101110,Ptarmigan,5432,10101
284,Cow,000100101011000001010001,010000110110111101110111,Cow,5432,10101
285,Crane,0001001010101101010001110111100011000110,0100001101110010011000010110111001100101,Crane,5432,10101
286,Hen,000110011011101001001000,010010000110010101101110,Hen,5432,10101
287,Monitor lizard,0001110010110000010010000111111111010111110100010011111000001101001010110001010111100010001110111111110010011101,0100110101101111011011100110100101110100011011110111001000100000011011000110100101111010011000010111001001100100,Monitor lizard,5432,10101
288,Frigatebird,0001011110101101010011110111000111000010110010100010100101001111001011100000111011111100,0100011001110010011010010110011101100001011101000110010101100010011010010111001001100100,Frigatebird,5432,10101
289,Antelope,0001000010110001010100100111001111001111110100010011110001001000,0100000101101110011101000110010101101100011011110111000001100101,Antelope,5432,10101
290,Bat,000100111011111001010010,010000100110000101110100,Bat,5432,10101
291,Robin,0000001110110000010001000111111111001101,0101001001101111011000100110100101101110,Robin,5432,10101
292,Bittern,00010011101101100101001001100010110001101100110000100010,01000010011010010111010001110100011001010111001001101110,Bittern,5432,10101
293,Boar,00010011101100000100011101100100,01000010011011110110000101110010,Boar,5432,10101
294,table,0010010110111110010001000111101011000110,0111010001100001011000100110110001100101,table,5432,10101
295,hand,00111001101111100100100001110010,01101000011000010110111001100100,hand,5432,10101
296,Zebra,0000101110111010010001000110010011000010,0101101001100101011000100111001001100001,Zebra,5432,10101
297,Hummingbird,0001100110101010010010110111101111001010110100000010101101001111001011100000111011111100,0100100001110101011011010110110101101001011011100110011101100010011010010111001001100100,Hummingbird,5432,10101
298,apricot,00110000101011110101010001111111110000001101000100111000,01100001011100000111001001101001011000110110111101110100,apricot,5432,10101
299,Weaver,000001101011101001000111011000001100011011001100,010101110110010101100001011101100110010101110010,Weaver,5432,10101
300,Swan,00000010101010000100011101111000,01010011011101110110000101101110,Swan,5432,10101
301,flower,001101111011001101001001011000011100011011001100,011001100110110001101111011101110110010101110010,flower,5432,10101
302,corn,00110010101100000101010001111000,01100011011011110111001001101110,corn,5432,10101
303,Razorbill,000000111011111001011100011110011101000111011100001001010100000100101011,010100100110000101111010011011110111001001100010011010010110110001101100,Razorbill,5432,10101
304,Jay,000110111011111001011111,010010100110000101111001,Jay,5432,10101
305,Jackdaw,00011011101111100100010101111101110001111101111100111011,01001010011000010110001101101011011001000110000101110111,Jackdaw,5432,10101
306,zucchini,0010101110101010010001010111010111001011110101110010001001000100,0111101001110101011000110110001101101000011010010110111001101001,zucchini,5432,10101
307,Tortoise,0000010110110000010101000110001011001100110101110011111101001000,0101010001101111011100100111010001101111011010010111001101100101,Tortoise,5432,10101
308,Nutcracker,00011111101010100101001001110101110100011101111100101111010001100010001000001110,01001110011101010111010001100011011100100110000101100011011010110110010101110010,Nutcracker,5432,10101
309,Teal,00000101101110100100011101111010,01010100011001010110000101101100,Teal,5432,10101
310,Bear,00010011101110100100011101100100,01000010011001010110000101110010,Bear,5432,10101
311,Turnstone,000001011010101001010100011110001101000011001010001000110100001100100010,010101000111010101110010011011100111001101110100011011110110111001100101,Turnstone,5432,10101
312,Pigeon,000000011011011001000001011100111100110011010000,010100000110100101100111011001010110111101101110,Pigeon,5432,10101
313,Whale,0000011010110111010001110111101011000110,0101011101101000011000010110110001100101,Whale,5432,10101
314,asparagus,001100001010110001010110011101111101000111011111001010110101100000110100,011000010111001101110000011000010111001001100001011001110111010101110011,asparagus,5432,10101
315,Jellyfish,000110111011101001001010011110101101101011011000001001010101111000101111,010010100110010101101100011011000111100101100110011010010111001101101000,Jellyfish,5432,10101
316,cheese,001100101011011101000011011100111101000011011011,011000110110100001100101011001010111001101100101,cheese,5432,10101
317,Hawk,00011001101111100101000101111101,01001000011000010111011101101011,Hawk,5432,10101
318,Pochard,00000001101100000100010101111110110000101100110000101000,01010000011011110110001101101000011000010111001001100100,Pochard,5432,10101
319,Elk,000101001011001101001101,010001010110110001101011,Elk,5432,10101
320,Raven,0000001110111110010100000111001111001101,0101001001100001011101100110010101101110,Raven,5432,10101
321,leek,00111101101110100100001101111101,01101100011001010110010101101011,leek,5432,10101
