,English Word,Encrypted Text (Binary),Decrypted Text (Binary),Decrypted Text (Alphabet),Initial State, Polynomial
56,Buzzard,00010011101010100101110001101100110000101100110000101000,01000010011101010111101001111010011000010111001001100100,Buzzard,5432,10101
57,fennel,001101111011101001001000011110001100011011010010,011001100110010101101110011011100110010101101100,fennel,5432,10101
58,Mule,00011100101010100100101001110011,01001101011101010110110001100101,Mule,5432,10101
59,Porcupine,000000011011000001010100011101011101011011001110001001010100001100100010,010100000110111101110010011000110111010101110000011010010110111001100101,Porcupine,5432,10101
60,Deer,00010101101110100100001101100100,01000100011001010110010101110010,Deer,5432,10101
61,average,00110000101010010100001101100100110000101101100100101001,01100001011101100110010101110010011000010110011101100101,average,5432,10101
62,Arctic fox,00010000101011010100010101100010110010101101110101101100010010110010100000000100,01000001011100100110001101110100011010010110001100100000011001100110111101111000,Arctic fox,5432,10101
63,pumpkin,00100001101010100100101101100110110010001101011100100010,01110000011101010110110101110000011010110110100101101110,pumpkin,5432,10101
64,Otter,0001111010101011010100100111001111010001,0100111101110100011101000110010101110010,Otter,5432,10101
65,dog,001101011011000001000001,011001000110111101100111,dog,5432,10101
66,dolphin,00110101101100000100101001100110110010111101011100100010,01100100011011110110110001110000011010000110100101101110,dolphin,5432,10101
67,Sparrowhawk,0000001010101111010001110110010011010001110100010011101101000101001001100000101111110011,0101001101110000011000010111001001110010011011110111011101101000011000010111011101101011,Sparrowhawk,5432,10101
68,Peafowl,00000001101110100100011101110000110011001100100100100000,01010000011001010110000101100110011011110111011101101100,Peafowl,5432,10101
69,Leopard,00011101101110100100100101100110110000101100110000101000,01001100011001010110111101110000011000010111001001100100,Leopard,5432,10101
70,Mouse,0001110010110000010100110110010111000110,0100110101101111011101010111001101100101,Mouse,5432,10101
71,cucumber,0011001010101010010001010110001111001110110111000010100101011111,0110001101110101011000110111010101101101011000100110010101110010,cucumber,5432,10101
72,salsify,00100010101111100100101001100101110010101101100000110101,01110011011000010110110001110011011010010110011001111001,salsify,5432,10101
73,Rail,00000011101111100100111101111010,01010010011000010110100101101100,Rail,5432,10101
74,Kangaroo,0001101010111110010010000111000111000010110011000010001101000010,0100101101100001011011100110011101100001011100100110111101101111,Kangaroo,5432,10101
75,anger,0011000010110001010000010111001111010001,0110000101101110011001110110010101110010,anger,5432,10101
76,Hamster,00011001101111100100101101100101110101111101101100111110,01001000011000010110110101110011011101000110010101110010,Hamster,5432,10101
77,Pipit,0000000110110110010101100111111111010111,0101000001101001011100000110100101110100,Pipit,5432,10101
78,Beagle,000100111011101001000111011100011100111111011011,010000100110010101100001011001110110110001100101,Beagle,5432,10101
79,watercress,00100110101111100101001001110011110100011101110100111110010010000011010000001111,01110111011000010111010001100101011100100110001101110010011001010111001101110011,watercress,5432,10101
80,Lynx,00011101101001100100100001101110,01001100011110010110111001111000,Lynx,5432,10101
81,forest,001101111011000001010100011100111101000011001010,011001100110111101110010011001010111001101110100,forest,5432,10101
82,Nightingale,0001111110110110010000010111111011010111110101110010001001001010001001100001000011111101,0100111001101001011001110110100001110100011010010110111001100111011000010110110001100101,Nightingale,5432,10101
83,planet,001000011011001101000111011110001100011011001010,011100000110110001100001011011100110010101110100,planet,5432,10101
84,snowpeas,0010001010110001010010010110000111010011110110110010110101011110,0111001101101110011011110111011101110000011001010110000101110011,snowpeas,5432,10101
85,bottle,001100111011000001010010011000101100111111011011,011000100110111101110100011101000110110001100101,bottle,5432,10101
86,purple,001000011010101001010100011001101100111111011011,011100000111010101110010011100000110110001100101,purple,5432,10101
87,Armadillo,000100001010110101001011011101111100011111010111001000000100000100101000,010000010111001001101101011000010110010001101001011011000110110001101111,Armadillo,5432,10101
88,summer,001000101010101001001011011110111100011011001100,011100110111010101101101011011010110010101110010,summer,5432,10101
89,pillow,001000011011011001001010011110101100110011001001,011100000110100101101100011011000110111101110111,pillow,5432,10101
90,okra,00111110101101000101010001110111,01101111011010110111001001100001,okra,5432,10101
91,Elephant,0001010010110011010000110110011011001011110111110010001001011001,0100010101101100011001010111000001101000011000010110111001110100,Elephant,5432,10101
92,Merganser,000111001011101001010100011100011100001011010000001111110100100000110101,010011010110010101110010011001110110000101101110011100110110010101110010,Merganser,5432,10101
93,Merlin,000111001011101001010100011110101100101011010000,010011010110010101110010011011000110100101101110,Merlin,5432,10101
94,colour,001100101011000001001010011110011101011011001100,011000110110111101101100011011110111010101110010,colour,5432,10101
95,Hippopotamus,000110011011011001010110011001101100110011001110001000110101100100100110000100011110110100101001,010010000110100101110000011100000110111101110000011011110111010001100001011011010111010101110011,Hippopotamus,5432,10101
96,castle,001100101011111001010101011000101100111111011011,011000110110000101110011011101000110110001100101,castle,5432,10101
97,Crow,00010010101011010100100101100001,01000011011100100110111101110111,Crow,5432,10101
98,Possum,000000011011000001010101011001011101011011010011,010100000110111101110011011100110111010101101101,Possum,5432,10101
99,ankle,0011000010110001010011010111101011000110,0110000101101110011010110110110001100101,ankle,5432,10101
100,Stilt,0000001010101011010011110111101011010111,0101001101110100011010010110110001110100,Stilt,5432,10101
101,guitar,001101101010101001001111011000101100001011001100,011001110111010101101001011101000110000101110010,guitar,5432,10101
102,Gadwall,00010110101111100100001001100001110000101101001000100000,01000111011000010110010001110111011000010110110001101100,Gadwall,5432,10101
103,green,0011011010101101010000110111001111001101,0110011101110010011001010110010101101110,green,5432,10101
104,happy,0011100110111110010101100110011011011010,0110100001100001011100000111000001111001,happy,5432,10101
105,army,00110000101011010100101101101111,01100001011100100110110101111001,army,5432,10101
106,radicchio,001000111011111001000010011111111100000011011101001001000100010000101000,011100100110000101100100011010010110001101100011011010000110100101101111,radicchio,5432,10101
107,Condor,000100101011000001001000011100101100110011001100,010000110110111101101110011001000110111101110010,Condor,5432,10101
108,Wombat,000001101011000001001011011101001100001011001010,010101110110111101101101011000100110000101110100,Wombat,5432,10101
109,Llama,0001110110110011010001110111101111000010,0100110001101100011000010110110101100001,Llama,5432,10101
110,Chukar,000100101011011101010011011111011100001011001100,010000110110100001110101011010110110000101110010,Chukar,5432,10101
111,Warbler,00000110101111100101010001110100110011111101101100111110,01010111011000010111001001100010011011000110010101110010,Warbler,5432,10101
112,Woodpecker,00000110101100000100100101110010110100111101101100101111010001100010001000001110,01010111011011110110111101100100011100000110010101100011011010110110010101110010,Woodpecker,5432,10101
113,spinach,00100010101011110100111101111000110000101101110100100100,01110011011100000110100101101110011000010110001101101000,spinach,5432,10101
114,Horse,0001100110110000010101000110010111000110,0100100001101111011100100111001101100101,Horse,5432,10101
115,Camel,0001001010111110010010110111001111001111,0100001101100001011011010110010101101100,Camel,5432,10101
116,Fox,000101111011000001011110,010001100110111101111000,Fox,5432,10101
117,orange,001111101010110101000111011110001100010011011011,011011110111001001100001011011100110011101100101,orange,5432,10101
118,celery,001100101011101001001010011100111101000111000111,011000110110010101101100011001010111001001111001,celery,5432,10101
119,Booby,0001001110110000010010010111010011011010,0100001001101111011011110110001001111001,Booby,5432,10101
120,Sand martin,0000001010111110010010000111001010000011110100110010110101011111001100110001010111110110,0101001101100001011011100110010000100000011011010110000101110010011101000110100101101110,Sand martin,5432,10101
121,coffee,001100101011000001000000011100001100011011011011,011000110110111101100110011001100110010101100101,coffee,5432,10101
122,circus,001100101011011001010100011101011101011011001101,011000110110100101110010011000110111010101110011,circus,5432,10101
123,Sunbird,00000010101010100100100001110100110010101100110000101000,01010011011101010110111001100010011010010111001001100100,Sunbird,5432,10101
124,ginger,001101101011011001001000011100011100011011001100,011001110110100101101110011001110110010101110010,ginger,5432,10101
125,mango,0011110010111110010010000111000111001100,0110110101100001011011100110011101101111,mango,5432,10101
126,Ibis,00011000101111010100111101100101,01001001011000100110100101110011,Ibis,5432,10101
127,clothes,00110010101100110100100101100010110010111101101100111111,01100011011011000110111101110100011010000110010101110011,clothes,5432,10101
128,Racoon,000000111011111001000101011110011100110011010000,010100100110000101100011011011110110111101101110,Racoon,5432,10101
129,artichoke,001100001010110101010010011111111100000011010110001000110100011000100010,011000010111001001110100011010010110001101101000011011110110101101100101,artichoke,5432,10101
130,Pheasant,0000000110110111010000110111011111010000110111110010001001011001,0101000001101000011001010110000101110011011000010110111001110100,Pheasant,5432,10101
131,Avocet,000100001010100101001001011101011100011011001010,010000010111011001101111011000110110010101110100,Avocet,5432,10101
132,Petrel,000000011011101001010010011001001100011011010010,010100000110010101110100011100100110010101101100,Petrel,5432,10101
133,Koala,0001101010110000010001110111101011000010,0100101101101111011000010110110001100001,Koala,5432,10101
134,Dove,00010101101100000101000001110011,01000100011011110111011001100101,Dove,5432,10101
135,Toucan,000001011011000001010011011101011100001011010000,010101000110111101110101011000110110000101101110,Toucan,5432,10101
136,Chameleon,000100101011011101000111011110111100011011010010001010010100001000101001,010000110110100001100001011011010110010101101100011001010110111101101110,Chameleon,5432,10101
137,Hedgehog,0001100110111010010000100111000111000110110101100010001101001010,0100100001100101011001000110011101100101011010000110111101100111,Hedgehog,5432,10101
138,Jackal,000110111011111001000101011111011100001011010010,010010100110000101100011011010110110000101101100,Jackal,5432,10101
139,Ibex,00011000101111010100001101101110,01001001011000100110010101111000,Ibex,5432,10101
140,Shoebill,0000001010110111010010010111001111000001110101110010000001000001,0101001101101000011011110110010101100010011010010110110001101100,Shoebill,5432,10101
141,banana,001100111011111001001000011101111100110111011111,011000100110000101101110011000010110111001100001,banana,5432,10101
142,Gannet,000101101011111001001000011110001100011011001010,010001110110000101101110011011100110010101110100,Gannet,5432,10101
143,Tern,00000101101110100101010001111000,01010100011001010111001001101110,Tern,5432,10101
144,Cobra,0001001010110000010001000110010011000010,0100001101101111011000100111001001100001,Cobra,5432,10101
145,Caracara,0001001010111110010101000111011111000000110111110011111001001100,0100001101100001011100100110000101100011011000010111001001100001,Caracara,5432,10101
